Address,Address - Zip Code,# of Garage Spaces,Bathrooms - Full,Bathrooms - Half,Bedrooms,HOA Dues,Listing Price,Price_Per_SQFT_LISTING,Lot Size - Sq Ft,Listing Date,Pending Date,Pool,Selling Date,Selling Price,Selling_Price_Per_Sqft,Square Footage,Year Built
"13675 Hartley Ln Lodi, CA 95242-9552",95242,2,3,0,3,0,263780,129.88,13504,5/26/2011,6/30/2011,NONO,8/17/2011,245000,120.6302314,2031,1977
"2441 Grenoble Ct Lodi, CA 95242-9146",95242,3,3,0,5,38,659000,182.65,10846,8/20/2010,8/20/2010,YESY,10/8/2010,595000,164.9113082,3608,1993
"35 Genie Way Lodi, CA 95242-2835",95242,2,2,0,3,0,199900,121.96,9583,5/10/2010,7/1/2011,NONO,8/18/2011,185000,112.8737035,1639,1974
"2424 Cochran, Lodi, CA 95242",95242,2,2,0,3,160,219900,155.3,1324,6/8/2015,6/29/2015,NONO,8/4/2015,210000,148.3050847,1416,1991
"2424 Cochran Rd #3, Lodi, CA 95242-3656",95242,2,2,0,3,160,239950,169.46,1231,2/15/2016,2/17/2016,NONO,4/8/2016,229000,161.7231638,1416,1991
"2463 Macarthur Pkwy Lodi, CA 95242-3253",95242,2,2,0,2,230,224900,117.5,4356,2/14/2011,3/21/2011,YESY,3/25/2011,217000,113.3751306,1914,1992
"2356 Cabrillo Cir Lodi, CA 95242-3310",95242,2,3,0,4,0,395000,204.98,13299,7/28/2014,12/5/2014,YESY,1/9/2015,375000,194.6030099,1927,1957
"2420 Modoc Way Lodi, CA 95242-2108",95242,2,2,0,3,0,192950,160.79,5663,1/6/2010,2/9/2010,NONO,3/26/2010,189000,157.5,1200,1972
"2368 Cabrillo Cir Lodi, CA 95242-3310",95242,2,2,1,4,0,480000,172.66,16392,4/24/2014,5/6/2014,NONO,6/4/2014,465000,167.2661871,2780,1964
"2443 Corbin Ln Lodi, CA 95242-3629",95242,2,2,0,3,0,209950,167.96,5663,5/4/2013,5/9/2013,YESY,5/23/2013,205000,164,1250,1966
"2443 Corbin Ln Lodi, CA 95242-3629",95242,2,2,0,3,0,199900,159.92,5663,3/8/2010,4/15/2010,YESY,5/13/2010,192500,154,1250,1966
"2421 Diablo Dr Lodi, CA 95242-3315",95242,2,2,1,3,0,299900,126.49,12197,7/2/2012,7/5/2012,YESY,8/31/2012,299000,126.1071278,2371,1970
"2434 Summerset Ct Lodi, CA 95242-3652",95242,3,4,0,3,165,669000,205.34,12632,4/20/2012,5/31/2012,YESY,7/19/2012,659000,202.2713321,3258,1998
